id,domain,feature,question,disposition,priority,resolution_status,resolution_ref,target
1,01_overview_command_center,01_overview-home.md,Should `MonthlyObjective` become a first-class entity or remain a Campaign/Planning projection? MASTER references the concept but does not define an entity.,ACP_REQUIRED,P0,PROPOSED_RESOLUTION,ACP-001,Architecture Change Proposal → MASTER v1.4 candidate
2,01_overview_command_center,01_overview-home.md,Should Attention dismissals expire only on source-state change or also after a configurable time window?,PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
3,01_overview_command_center,01_overview-home.md,How many “Attention Now” items should be visible before collapsing? Product default must be validated; no architecture dependency.,PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
4,01_overview_command_center,01_overview-home.md,"Should Current Focus allow multiple simultaneous pinned contexts or exactly one primary focus in MVP? Recommended MVP: one primary focus, with other urgent items still visible via Attention.",PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
5,01_overview_command_center,02_attention-model.md,Persist AttentionItem occurrences or compute entirely from domain events/projections? Engineering audit should decide based on audit/history needs.,ENGINEERING_SPEC,P1,ROUTED_ENGINEERING,,Engineering Specification / Data Model Reference
6,01_overview_command_center,02_attention-model.md,Default snooze presets are UX-level and require validation.,PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
7,01_overview_command_center,02_attention-model.md,Whether user can configure category visibility in MVP; recommended: no advanced configuration initially.,PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
8,01_overview_command_center,03_global-command-palette.md,Whether global entity search is part of v1 MVP or only command navigation; recommended: lightweight Song/Campaign search once those lists exist.,PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
9,01_overview_command_center,03_global-command-palette.md,Whether mobile needs a search palette at all; recommended MVP: Quick Add sheet only.,PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
10,01_overview_command_center,04_onboarding.md,Exact `MINIMUM_READY` conditions should be validated during UX prototyping; recommended base: Artist exists + initial intent selected + at least minimal identity context or explicit choice to defer.,PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
11,01_overview_command_center,04_onboarding.md,"Should “first useful action” completion mark onboarding `COMPLETED`, or should completion happen when user explicitly dismisses setup? Recommended: minimum ready is automatic, completed is explicit/after first value action.",PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
12,01_overview_command_center,04_onboarding.md,Whether to introduce `MonthlyObjective` during onboarding depends on its future entity decision from Overview spec.,PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
13,02_identity,01_identity-home.md,Exact checklist components required for `Identity Minimum Ready` versus `Identity Complete` should be UX-tested.,PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
14,02_identity,01_identity-home.md,Whether multiple simultaneous active Eras are ever allowed; recommended v1.3: one active Era per artist time context.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-001,Architecture Decision Record / Domain Rulebook
15,02_identity,02_identity-wizard.md,Exact required vs optional step matrix for initial activation should be decided after UX prototyping; MASTER gives sequence but not mandatory completeness thresholds.,CALIBRATION_EVAL,P2,ROUTED_CALIBRATION,,AI/Analytics Eval & Calibration Spec
16,02_identity,03_archetype-discovery.md,Whether confidence should be categorical rather than numeric. Recommended: categorical + explanation to avoid fake precision.,PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
17,02_identity,04_listening-session.md,Prompt library/versioning belongs in UX/content design; should be eval-tested for leading bias.,CALIBRATION_EVAL,P2,ROUTED_CALIBRATION,,AI/Analytics Eval & Calibration Spec
18,02_identity,05_sensory-associations.md,Protection as status vs separate visibility field should be decided in data model audit; separate visibility is likely cleaner.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-004,Architecture Decision Record / Domain Rulebook
19,02_identity,06_moodboard.md,Whether remote images should be mirrored or referenced only depends on rights/storage policy; engineering/legal product review required.,ENGINEERING_SPEC,P1,ROUTED_ENGINEERING,,Engineering Specification / Data Model Reference
20,02_identity,07_visual-dna.md,`EnvironmentRules` fields are named in MASTER but not structurally enumerated; detailed schema should be defined during DB/product data-model pass based on query/use cases.,ENGINEERING_SPEC,P1,ROUTED_ENGINEERING,,Engineering Specification / Data Model Reference
21,02_identity,08_typography.md,Exact representation of `headlineRules/bodyRules` should be defined from supported design surfaces rather than over-modeling arbitrary typography properties now.,PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
22,02_identity,09_narrative-identity.md,Whether fictional persona facts need a first-class epistemic tag inside Identity Narrative or can be handled by field-level metadata; data-model pass should decide.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-033,Architecture Decision Record / Domain Rulebook
23,02_identity,10_symbolic-anchors.md,Exact category enum should remain extensible until real usage proves stable categories.,ENGINEERING_SPEC,P1,ROUTED_ENGINEERING,,Engineering Specification / Data Model Reference
24,02_identity,11_mystique-interpretation.md,Whether Song-specific interpretation policy should be a first-class entity or live in SongIdentityContext/Knowledge; MASTER implies song explanation level but does not define per-song schema.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-003,Architecture Decision Record / Domain Rulebook
25,02_identity,12_vertical-rules.md,Exact persistent schema should follow Stage 0 relational/JSONB reasoning because many vertical fields may be sparse and evolve.,ENGINEERING_SPEC,P1,ROUTED_ENGINEERING,,Engineering Specification / Data Model Reference
26,02_identity,13_eras.md,Formal threshold for “too much override → major Identity Version” cannot be a magic score; initially use explainable rule/conflict review + human choice.,CALIBRATION_EVAL,P2,ROUTED_CALIBRATION,,AI/Analytics Eval & Calibration Spec
27,02_identity,14_identity-constraints.md,"Materiality threshold for requiring formal deviation versus simple soft Guard warning should be UX-defined by constraint priority/type, not a universal numerical score.",CALIBRATION_EVAL,P2,ROUTED_CALIBRATION,,AI/Analytics Eval & Calibration Spec
28,02_identity,15_identity-guard.md,"Severity taxonomy for individual findings can reuse attention-style categorical levels, but should be domain-specific enough to distinguish hard constraint vs stylistic tension.",PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
29,02_identity,16_brand-book.md,"Exact sharing/access-link feature is outside current spec; export is defined, collaboration permissions are deferred.",DEFERRED_BOUNDARY,P2,ROUTED_DEFERRED,,Deferred Scope Register / future domain
30,02_identity,17_identity-versioning.md,"Whether version labels are user-editable or system-suggested with confirmation; recommended: system proposes semantic next version, user confirms during review.",PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
31,03_narrative,01_narrative-home.md,Whether one Content Unit may have multiple first-class Narrative Track links or one primary + secondary tags; MASTER only defines `narrativeTrackId?` on Content Angle. Schema pass must resolve without losing multi-story historical cases.,ACP_REQUIRED,P0,PROPOSED_RESOLUTION,ACP-003,Architecture Change Proposal → MASTER v1.4 candidate
32,03_narrative,01_narrative-home.md,Whether Narrative Home needs a first-class `NarrativeAttentionItem` persistence model or can derive attention from domain state like Overview does.,ENGINEERING_SPEC,P1,ROUTED_ENGINEERING,,Engineering Specification / Data Model Reference
33,03_narrative,02_tracks.md,Confirm concrete enum behind generic MASTER `NarrativeTrack.status` during schema pass.,ENGINEERING_SPEC,P1,ROUTED_ENGINEERING,,Engineering Specification / Data Model Reference
34,03_narrative,02_tracks.md,Decide whether Track-to-Song/Campaign associations need explicit join entities or remain usage-derived from Beats/Content/Campaign references.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-006,Architecture Decision Record / Domain Rulebook
35,03_narrative,03_beats.md,Whether reopening TOLD should be a direct state transition or create a successor Beat; decide after UX prototyping and event-history design.,PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
36,03_narrative,04_signature-differentiators.md,"Whether Differentiator needs explicit lifecycle (`ACTIVE/DORMANT/RETIRED`) in schema; MASTER does not define status, so defer to data-model review.",ENGINEERING_SPEC,P1,ROUTED_ENGINEERING,,Engineering Specification / Data Model Reference
37,03_narrative,05_mix-plan.md,Primary actual-mix unit for default UX: Content Units vs published Content Units vs Publications. MASTER says `actualMix[]` but does not resolve denominator semantics.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-005,Architecture Decision Record / Domain Rulebook
38,03_narrative,05_mix-plan.md,Multi-Track Content Unit weighting if supported (full count vs primary track + secondary tags vs fractional); must be decided with schema model.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,"ACP-003, AR-005",Architecture Decision Record / Domain Rulebook
39,03_narrative,06_narrative-analytics.md,"Exact confidence computation remains a cross-domain Analytics/Intelligence design decision; Narrative must consume explainable confidence, not invent a separate model.",CALIBRATION_EVAL,P2,ROUTED_CALIBRATION,,AI/Analytics Eval & Calibration Spec
40,03_narrative,06_narrative-analytics.md,"If multi-Track Content Units are supported, analytics attribution weighting must be defined globally rather than locally here.",PRODUCT_UX_POLICY,P2,PROPOSED_RESOLUTION,"ACP-003, AR-005",UX / Interaction Spec or product configuration
41,04_songs_music,01_song-library.md,Exact `Song.releaseStatus` enum is not defined in MASTER and must be resolved during schema/product lifecycle pass.,ENGINEERING_SPEC,P0,ROUTED_ENGINEERING,,Engineering Specification / Data Model Reference
42,04_songs_music,02_song-home.md,Whether Brain section readiness should be persisted or fully derived; prefer derived until a workflow proves persistence useful.,ENGINEERING_SPEC,P1,ROUTED_ENGINEERING,,Engineering Specification / Data Model Reference
43,04_songs_music,03_story-meaning.md,Whether statement-level normalized entity belongs in Song Brain schema or generic Knowledge system. MASTER gives labels but not storage granularity; schema pass should choose one canonical model.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-034,Architecture Decision Record / Domain Rulebook
44,04_songs_music,04_lyrics.md,Whether canonical lyrics live as DOCUMENT Asset + structured section index or a dedicated LyricVersion entity; MASTER only specifies `lyricsReference`.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-007,Architecture Decision Record / Domain Rulebook
45,04_songs_music,05_segments.md,Whether analogous Segment mapping across Release Extensions needs first-class relation (`equivalentSegmentId`) or stays manual metadata.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-035,Architecture Decision Record / Domain Rulebook
46,04_songs_music,06_audio-assets.md,Units/semantics for foreground/background levels need concrete UX/schema definition; MASTER names fields but not scale.,ENGINEERING_SPEC,P1,ROUTED_ENGINEERING,,Engineering Specification / Data Model Reference
47,04_songs_music,07_song-identity-context.md,Exact precedence ordering among Identity → Era → Song override → Content-specific IdentityDeviation should be centralized and frozen in Context/Guard spec.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-002,Architecture Decision Record / Domain Rulebook
48,04_songs_music,07_song-identity-context.md,Final entity boundary for song-specific Interpretation Policy remains unresolved from Identity pass.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-003,Architecture Decision Record / Domain Rulebook
49,04_songs_music,08_performances.md,Whether a dedicated `Performance` entity is required for live-show/setlist/DSP workflows or whether projection + LiveSession/ShootSession suffices. Defer to schema audit.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-008,Architecture Decision Record / Domain Rulebook
50,04_songs_music,09_content-history.md,Precise rule for song attribution on Content Units that use a Song only as secondary/background audio should be centralized with Content/AudioUsage schema.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-036,Architecture Decision Record / Domain Rulebook
51,04_songs_music,10_song-experiments-learnings.md,"Cross-domain confidence computation and minimum-observation policy remain owned by Intelligence/Analytics specs, not Song domain.",PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
52,04_songs_music,11_release-extensions.md,Formal `Release` entity schema is not defined in MASTER core model excerpt; Campaign/Release detailed pass must freeze it.,ACP_REQUIRED,P0,PROPOSED_RESOLUTION,ACP-002,Architecture Change Proposal → MASTER v1.4 candidate
53,04_songs_music,11_release-extensions.md,Semantics of `VIDEO` extension with required `releaseId` need clarification in Release/DSP schema.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-037,Architecture Decision Record / Domain Rulebook
